id,name,yomi,former_shrine_rank,shikinaisha_type,ichinomiya_name,province,county,prefecture,city,address,lat,lng,gmap_url,main_god_ids,sub_god_ids,description
J0031,氷川神社,ひかわじんじゃ,官幣大社,名神大社,武蔵国一宮,武蔵国,,埼玉県,さいたま市,埼玉県さいたま市大宮区高鼻町1-407,35.916340,139.629440,"https://maps.google.com/?q=35.916340,139.629440",K014|K030|K031,,須佐之男命・稲田姫命・大己貴命を祀る武蔵国一宮。
J0032,安房神社,あわじんじゃ,官幣大社,名神大社,安房国一宮,安房国,,千葉県,館山市,千葉県館山市大神宮589,34.921692,139.839401,"https://maps.google.com/?q=34.921692,139.839401",K019,,天太玉命を主祭神とする安房国一宮。
J0033,建部大社,たけべたいしゃ,官幣大社,名神大社,近江国一宮,近江国,,滋賀県,大津市,滋賀県大津市神領1丁目16-1,34.973366,135.913757,"https://maps.google.com/?q=34.973366,135.913757",K076,,日本武尊を主祭神とする近江国一宮。
J0034,日光二荒山神社,にっこうふたらさんじんじゃ,国幣中社,,下野国一宮,下野国,,栃木県,日光市,栃木県日光市山内2307,36.759941,139.597214,"https://maps.google.com/?q=36.759941,139.597214",K031|K089|K085,,大己貴命・田心姫命・味耜高彦根命を祀る下野国一宮候補社。
J0035,都々古別神社（八槻）,つつこわけじんじゃ,国幣中社,,陸奥国一宮,陸奥国,,福島県,東白川郡棚倉町,福島県東白川郡棚倉町八槻大宮224,36.994530,140.392166,"https://maps.google.com/?q=36.994530,140.392166",K085,,味耜高彦根命を祀る陸奥国一宮候補社。
J0036,石都々古和気神社,いわつつこわけじんじゃ,,,陸奥国一宮,陸奥国,,福島県,石川郡石川町,福島県石川郡石川町下泉269,37.144890,140.450760,"https://maps.google.com/?q=37.144890,140.450760",K085,,味耜高彦根神を祀る陸奥国一宮候補社。
J0037,鳥海山大物忌神社 吹浦口之宮,ちょうかいさんおおものいみじんじゃ ふくらくちのみや,国幣中社,名神大社,出羽国一宮,出羽国,,山形県,飽海郡遊佐町,山形県飽海郡遊佐町吹浦布倉1,39.074139,139.879028,"https://maps.google.com/?q=39.074139,139.879028",K284,,大物忌神を祀る鳥海山大物忌神社の吹浦口之宮。
J0038,居多神社,こたじんじゃ,,,越後国一宮,越後国,,新潟県,上越市,新潟県上越市五智6丁目1-11,37.166481,138.223907,"https://maps.google.com/?q=37.166481,138.223907",K031,,大国主命を主祭神とする越後国一宮候補社。
J0039,度津神社,わたつじんじゃ,国幣小社,式内小社,佐渡国一宮,佐渡国,,新潟県,佐渡市,新潟県佐渡市羽茂飯岡550-4,37.859871,138.330124,"https://maps.google.com/?q=37.859871,138.330124",K099,,五十猛命を祀る佐渡国一宮。
J0040,籠神社,このじんじゃ,国幣中社,,丹後国一宮,丹後国,,京都府,宮津市,京都府宮津市大垣430,35.582565,135.196136,"https://maps.google.com/?q=35.582565,135.196136",K209,,彦火明命を主祭神とする丹後国一宮。
J0041,宇倍神社,うべじんじゃ,国幣中社,,因幡国一宮,因幡国,,鳥取県,鳥取市,鳥取県鳥取市国府町宮下651,35.483501,134.271729,"https://maps.google.com/?q=35.483501,134.271729",K081,,武内宿禰命を祀る因幡国一宮。
J0042,物部神社,もののべじんじゃ,国幣小社,,石見国一宮,石見国,,島根県,大田市,島根県大田市川合町川合1545,35.161232,132.520615,"https://maps.google.com/?q=35.161232,132.520615",K062,,宇摩志麻遅命を主祭神とする石見国一宮。
J0043,伊和神社,いわじんじゃ,国幣中社,名神大社,播磨国一宮,播磨国,,兵庫県,宍粟市,兵庫県宍粟市一宮町須行名407,35.087944,134.586746,"https://maps.google.com/?q=35.087944,134.586746",K031,,大己貴神を主祭神とする播磨国一宮。
J0044,吉備津彦神社,きびつひこじんじゃ,国幣小社,,備前国一宮,備前国,,岡山県,岡山市,岡山県岡山市北区一宮1043,34.675278,133.859589,"https://maps.google.com/?q=34.675278,133.859589",K106,,大吉備津彦命を主祭神とする備前国一宮。
J0045,筥崎宮,はこざきぐう,官幣大社,名神大社,筑前国一宮,筑前国,,福岡県,福岡市,福岡県福岡市東区箱崎1丁目22-1,33.613758,130.424286,"https://maps.google.com/?q=33.613758,130.424286",K080|K079|K082,,応神天皇・神功皇后・玉依姫命を祀る筑前国一宮。
J0046,千栗八幡宮,ちりくはちまんぐう,国幣小社,,肥前国一宮,肥前国,,佐賀県,三養基郡みやき町,佐賀県三養基郡みやき町白壁2403,33.332253,130.478699,"https://maps.google.com/?q=33.332253,130.478699",K080,,応神天皇を主祭神とする肥前国一宮候補社。
J0047,阿蘇神社,あそじんじゃ,官幣大社,名神大社,肥後国一宮,肥後国,,熊本県,阿蘇市,熊本県阿蘇市一の宮町宮地3083-1,32.947777,131.116180,"https://maps.google.com/?q=32.947777,131.116180",K264,,健磐龍命を主祭神とする肥後国一宮。
J0048,都農神社,つのじんじゃ,国幣小社,式内小社,日向国一宮,日向国,,宮崎県,児湯郡都農町,宮崎県児湯郡都農町川北13294,32.264084,131.557877,"https://maps.google.com/?q=32.264084,131.557877",K031,,大己貴命を祀る日向国一宮。
J0049,伊佐須美神社,いさすみじんじゃ,国幣中社,,岩代国一宮,岩代国,,福島県,大沼郡会津美里町,福島県大沼郡会津美里町宮林甲4377,37.456795,139.841080,"https://maps.google.com/?q=37.456795,139.841080",K010|K011|K113|K111,,伊弉諾尊・伊弉冉尊・大彦命・建沼河別命を祀る新一の宮。
J0050,新田神社,にったじんじゃ,国幣中社,,薩摩国一宮,薩摩国,,鹿児島県,薩摩川内市,鹿児島県薩摩川内市宮内町1935-2,31.823137,130.292618,"https://maps.google.com/?q=31.823137,130.292618",K022,,瓊瓊杵尊を主祭神とする薩摩国一宮候補社。
J0051,海神神社,わたつみじんじゃ,国幣中社,,対馬国一宮,対馬国,,長崎県,対馬市,長崎県対馬市峰町木坂247,34.464027,129.283142,"https://maps.google.com/?q=34.464027,129.283142",K027,,豊玉姫命を主祭神とする対馬国一宮。
