region,province,shrine_name,existing_jinja_id,status,source_url,note
山陰道,出雲国,熊野大社,,unregistered,https://ichinomiya.gr.jp/,
山陰道,石見国,物部神社,J0042,existing,https://ichinomiya.gr.jp/,
山陰道,隠岐国,水若酢神社,,unregistered,https://ichinomiya.gr.jp/,
山陰道,隠岐国,由良比女神社,,unregistered,https://ichinomiya.gr.jp/,
山陽道,播磨国,伊和神社,J0043,existing,https://ichinomiya.gr.jp/,
山陽道,美作国,中山神社,,unregistered,https://ichinomiya.gr.jp/,
山陽道,備前国,吉備津彦神社,J0044,existing,https://ichinomiya.gr.jp/,
山陽道,備前国,石上布都魂神社,,unregistered,https://ichinomiya.gr.jp/,
山陽道,備中国,吉備津神社,J0014,existing,https://ichinomiya.gr.jp/,
山陽道,備後国,吉備津神社,,unregistered,https://ichinomiya.gr.jp/,
山陽道,備後国,素盞嗚神社,,unregistered,https://ichinomiya.gr.jp/,
山陽道,安芸国,嚴島神社,J0012,existing,https://ichinomiya.gr.jp/,
山陽道,周防国,玉祖神社,,unregistered,https://ichinomiya.gr.jp/,
山陽道,長門国,住吉神社,,unregistered,https://ichinomiya.gr.jp/,
南海道,紀伊国,日前神宮・國懸神宮,,unregistered,https://ichinomiya.gr.jp/,二社構成として要分割
南海道,紀伊国,丹生都比売神社,,unregistered,https://ichinomiya.gr.jp/,
南海道,紀伊国,伊太祁曽神社,,unregistered,https://ichinomiya.gr.jp/,
南海道,淡路国,伊弉諾神宮,,unregistered,https://ichinomiya.gr.jp/,
南海道,阿波国,大麻比古神社,,unregistered,https://ichinomiya.gr.jp/,
南海道,讃岐国,田村神社,,unregistered,https://ichinomiya.gr.jp/,
南海道,伊予国,大山祇神社,J0015,existing,https://ichinomiya.gr.jp/,
南海道,土佐国,土佐神社,,unregistered,https://ichinomiya.gr.jp/,
西海道,筑前国,筥崎宮,J0045,existing,https://ichinomiya.gr.jp/,
西海道,筑前国,住吉神社,,unregistered,https://ichinomiya.gr.jp/,
西海道,筑後国,高良大社,,unregistered,https://ichinomiya.gr.jp/,
西海道,豊前国,宇佐神宮,J0008,existing,https://ichinomiya.gr.jp/,
西海道,豊後国,西寒多神社,,unregistered,https://ichinomiya.gr.jp/,
西海道,豊後国,柞原八幡宮,,unregistered,https://ichinomiya.gr.jp/,
西海道,肥前国,與止日女神社,,unregistered,https://ichinomiya.gr.jp/,
西海道,肥前国,千栗八幡宮,J0046,existing,https://ichinomiya.gr.jp/,
西海道,肥後国,阿蘇神社,J0047,existing,https://ichinomiya.gr.jp/,
西海道,日向国,都農神社,J0048,existing,https://ichinomiya.gr.jp/,
西海道,大隅国,鹿児島神宮,,unregistered,https://ichinomiya.gr.jp/,
西海道,薩摩国,新田神社,J0050,existing,https://ichinomiya.gr.jp/,
西海道,薩摩国,枚聞神社,,unregistered,https://ichinomiya.gr.jp/,
西海道,壱岐国,天手長男神社,,unregistered,https://ichinomiya.gr.jp/,
西海道,対馬国,海神神社,J0051,existing,https://ichinomiya.gr.jp/,
新一の宮,蝦夷国,北海道神宮,,unregistered,https://ichinomiya.gr.jp/,
新一の宮,津軽国,岩木山神社,,unregistered,https://ichinomiya.gr.jp/,
新一の宮,陸中国,駒形神社,,unregistered,https://ichinomiya.gr.jp/,
新一の宮,岩代国,伊佐須美神社,J0049,existing,https://ichinomiya.gr.jp/,
新一の宮,知知夫国,秩父神社,,unregistered,https://ichinomiya.gr.jp/,
新一の宮,琉球国,波上宮,,unregistered,https://ichinomiya.gr.jp/,
