id,name,yomi,system_type,father_id,mother_id,spouse_id,child_ids,description,,
K026,火照命,ほでりのみこと,天津神,K022,K023,,,海幸彦。隼人の阿多君の祖。,,
K027,豊玉毘売,とよたまひめ,国津神,K029,,K025,K028,海神（綿津見神）の娘。海の女神。,,
K028,鵜葺草葺不合命,うがやふきあえずのみこと,天津神,K025,K027,,K029_A,神武天皇の父神。鵜の羽で屋根を葺き終わらないうちに誕生。,,
K029,綿津見神,わたつみのかみ,国津神,K010,K011,,K027,海の神の総元締め。志賀海神社等。,,
K029_A,神倭伊波礼毘古命,かんやまといわれひこのみこと,天津神,K028,,,初代神武天皇。日向から東征して大和を定める。,,,
K030,櫛名田比売,くしなだひめ,国津神,,,,K014,K031,ヤマタノオロチの生贄になりかけたところを須佐之男命に救われた女神。,
K031,大国主神,おおくにぬしのかみ,国津神,K014,,K032,K033|K034,国津神の代表。出雲大社主祭神。国造り・縁結び・国譲りの主役。,,
K032,神屋楯比売命,かむやたてひめのみこと,国津神,K003,,K031,K033,大国主神の妃の一柱。,,
K033,事代主神,ことしろぬしのかみ,国津神,K031,K032,,大国主神の長男。恵比須様として親しまれる託宣の神。美保神社。,,,
K034,建御名方神,たけみなかたのかみ,国津神,K031,,,大国主神の次男。国譲りに反対して力比べをし諏訪へ逃れる。諏訪大社主祭神。,,,
K035,少名毘古那神,すくなひこなのかみ,天津神,K003,,,大国主神とともに国造りを行った小人の神。温泉・薬の神。,,,
K036,大物主神,おおものぬしのかみ,国津神,K031,,,大国主神の和魂（別名とされる）。大神神社（三輪山）の主祭神。,,,
K037,猿田毘古神,さるたひこのかみ,国津神,,,,K038,天孫降臨の際、道案内（導き）を務めた国津神。椿大神社等。,,
K038,天宇受売命,あめのうずめのみこと,天津神,,,,K037,岩戸隠れの際に踊りを披露した芸能の女神。,,
K039,天手力男神,あめのたぢからおのかみ,天津神,,,,,,天岩戸をこじ開けた力自慢の神。戸隠神社等。,
K040,塩椎神,しおつちのかみ,国津神,,,,,,潮流を司る神。山幸彦や神武天皇を導く。,
K041,天之水分神,あめのみくまりのかみ,天津神,K010,K011,,,水分（分配）を司る水の神。,,
K042,国之水分神,くにのみくまりのかみ,国津神,K010,K011,,,地上の水を司る神。,,
K043,志那都比古神,しなつひこのかみ,天津神,K010,K011,,,風を司る神。龍田大社主祭神。,,
K044,大気津比売神,おおげつひめのかみ,国津神,K010,K011,,,食物・穀物を司る女神。,,
K045,保食神,うけもちのかみ,国津神,,,,,,食物の女神。月読命に斬られる伝承を持つ。,
K046,倉稲魂神,うかのみたまのかみ,国津神,K014,K044,,,お稲荷様として親しまれる穀物・商業の神。伏見稲荷大社。,,
K047,大年神,おおとしのかみ,国津神,K014,K044,,,正月に訪れる年の神・穀物神。,,
K048,御年神,みとしのかみ,国津神,K047,,,,穀物の実りを司る神。,,
K049,甕星香々背男,みかぼしかがせお,国津神,,,,,,天津神に最後まで抵抗したとされる星の神（香々背男）。,
K050,泣沢女神,なきさわめのかみ,天津神,K010,,,,伊邪那岐命の涙から生まれた女神。,,
K051,黄泉津大神,よもつおおかみ,その他,K011,,,,黄泉の国の主宰者となった伊邪那美命の神号。,,
K052,菊理媛神,くくりひめのかみ,国津神,,,,,,伊邪那岐・伊邪那美の仲裁をした和合・縁結びの女神。白山比咩神社。,
K053,速秋津比売神,はやあきつひめのかみ,天津神,K010,K011,,,祓戸四神の一柱。川底で罪穢れを呑み込む女神。,,
K054,瀬織津姫神,せおりつひめのかみ,天津神,,,,,,祓戸四神の一柱。川の濁流で罪穢れを流す女神。,
K055,気吹戸主神,いぶきどぬしのかみ,天津神,,,,,,祓戸四神の一柱。根の国へ罪穢れを吹き飛ばす神。,
K056,速佐須良比売神,はやさすらひめのかみ,天津神,,,,,,祓戸四神の一柱。根の国で罪穢れを消し去る女神。,
K057,天忍日命,あめのおしひのみこと,天津神,,,,,,大伴氏の祖神。天孫降臨の武装先導役。,
K058,天津久米命,あまつくめのみこと,天津神,,,,,,久米氏の祖神。天忍日命とともに天孫を護衛。,
K059,天鈿女命,あめのうずめのみこと_2,天津神,,,,,,（別表記用）天宇受売命の異体字表記。,
K060,櫛玉命,くしたまのみこと,天津神,,,,,,饒速日命の別名とされる神。,
K061,饒速日命,にぎはやひのみこと,天津神,K020,,,K062,天孫降臨以前に天磐船で大和に飛来した神。物部氏の祖神。,,
K062,宇摩志麻遅命,うましまじのみこと,天津神,K061,,,,物部氏の直接の祖神。武神。,,
K063,長脛彦,ながすねひこ,国津神,,,,,,大和の先住豪族。神武東征に抵抗する。,
K064,神八井耳命,かむやいみみのみこと,天津神,K029_A,,,,神武天皇の第二皇子。多氏の祖神。,,
K065,綏靖天皇,すいぜいてんのう,天津神,K029_A,,,,第二代天皇。,,
K066,安寧天皇,あんねいてんのう,天津神,K065,,,,第三代天皇。,,
K067,懿徳天皇,いとくてんのう,天津神,K066,,,,第四代天皇。,,
K068,孝昭天皇,こうしょうてんのう,天津神,K067,,,,第五代天皇。,,
K069,孝安天皇,こうあんてんのう,天津神,K068,,,,第六代天皇。,,
K070,孝霊天皇,こうれいてんのう,天津神,K069,,,,第七代天皇。,,
K071,孝元天皇,こうげんてんのう,天津神,K070,,,,第八代天皇。,,
K072,開化天皇,かいかてんのう,天津神,K071,,,,第九代天皇。,,
K073,崇神天皇,すじんてんのう,天津神,K072,,,,第十代天皇。三輪山の祭祀を整え疫病を収める。,,
K074,垂仁天皇,すいにんてんのう,天津神,K073,,,,第十一代天皇。伊勢神宮を創始させる。,,
K075,景行天皇,けいこうてんのう,天津神,K074,,,,第十二代天皇。ヤマトタケルの父。,,
K076,日本武尊,やまとたけるのみこと,天津神,K075,,,K078,熊襲・東国を征伐した悲劇の英雄。熱田神宮等。,,
K077,弟橘媛,おとたちばなひめ,天津神,,,,K076,,ヤマトタケルの妃。走水で身を投げて海を鎮める。,
K078,仲哀天皇,ちゅうあいてんのう,天津神,K076,,K079,K080,第十四代天皇。ヤマトタケルの子。,,
K079,神功皇后,じんぐうこうごう,天津神,,,,K078,K080,三韓征伐を行った女傑。八幡三神の一柱。,
K080,応神天皇,おうじんてんのう,天津神,K078,K079,,,第十五代天皇。八幡大神（誉田別命）として全国に祀られる。,,
K081,武内宿禰,たけうちのすくね,天津神,,,,,,成務・仲哀・神功・応神・仁徳の5代に仕えた長寿の大臣。,
K082,玉依姫命,たまよりひめのみこと,国津神,K029,,K028,K029_A,海神の娘。神武天皇の母神。賀茂別雷神の母ともされる。,,
K083,賀茂別雷命,かもわけいかづちのみこと,天津神,K036,K082,,,雷の神。上賀茂神社の主祭神。,,
K084,賀茂建角身命,かもたけつぬみのみこと,国津神,,,,,,下鴨神社の主祭神。八咫烏に化身して神武東征を導く。,
K085,阿遅鉏高日常神,あじすきたかひこねのかみ,国津神,K031,K032,,,大国主神の子。雷神・農業の神。,,
K086,下照比売命,したてるひめのかみ,国津神,K031,K032,,,大国主神の娘。容姿端麗な女神。,,
K087,天稚彦,あめのわかひこ,天津神,,,,K086,,国譲りの使者として派遣されるが裏切り天の返矢で死す。,
K088,天探女,あめのさぐめ,天津神,,,,,,天稚彦をそそのかした天邪鬼の原形とされる女神。,
K089,多紀理毘売命,たきりひめのみこと,天津神,K014,,K031,,宗像三女神の一柱。沖津宮（沖ノ島）に祀られる。,,
K090,市寸島比売命,いちきしまひめのみこと,天津神,K014,,,,宗像三女神の一柱。中津宮（厳島神社等）に祀られる美神。,,
K091,多岐津比売命,たぎつひめのみこと,天津神,K014,,,,宗像三女神の一柱。辺津宮に祀られる。,,
K092,句々廼馳神,くくのちのかみ,天津神,K010,K011,,,木の神・森林の神。,,
K093,草野姫神,かやのひめのかみ,天津神,K010,K011,,,草の女神・野の神。,,
K094,金山毘古神,かなやまひこのかみ,天津神,K010,K011,,,鉱山・金属・鍛冶の神。南宮大社等。,,
K095,金山毘売神,かなやまひめのかみ,天津神,K010,K011,,,鉱山・金属の女神。,,
K096,埴山姫神,はにやすひめのかみ,天津神,K010,K011,,,土の女神・陶器の神。,,
K097,弥都波能売神,みづはのめのかみ,天津神,K010,K011,,,代表的な水の女神。丹生川上神社等。,,
K098,大屋毘古神,おおやびこのかみ,国津神,K010,K011,,,家屋の神・木の神。大国主神の危機を救う。五十猛神と同神とされる。,,
K099,五十猛神,いそたけるのかみ,天津神,K014,,,,須佐之男命の子。全国に木々を植えて緑化した有功の神。,,
K100,抓津姫神,つまつひめのかみ,天津神,K014,,,,須佐之男命の娘。五十猛神とともに全国に樹木を撒く。,,
K101,大屋津姫神,おおやつひめのかみ,天津神,K014,,,,須佐之男命の娘。五十猛神・抓津姫神とともに樹木・木材を司る。,,
K102,建御名方富命彦神別神社祭神,たけみなかたとみのみこと,国津神,K034,,,,建御名方神の子。諏訪から信濃各地を開拓した神々の一柱。,,
K103,八坂刀売神,やさかとめのかみ,国津神,,,,K034,,建御名方神の妃神。諏訪大社下社主祭神。,
K104,出雲建,いずもたける,国津神,,,,,,出雲の豪族。ヤマトタケルによって倒される。,
K105,弟彦男命,おとひこおのみこと,天津神,,,,,,吉備津彦命に従い吉備国を平定した神。,
K106,吉備津彦命,きびつひこのかみ,天津神,K070,,,,桃太郎伝説のモデルとされる神。吉備国を平定。吉備津神社。,,
K107,稚武彦命,わかたけひこのみこと,天津神,K070,,,,吉備津彦命の弟。吉備氏の祖神。,,
K108,温羅,うら,その他,,,,,,吉備国に住みついた異国の悪鬼。吉備津彦命に退治され吉備津神社で祀られる。,
K109,武埴安彦命,たけはにやすひこのみこと,天津神,K071,,,,崇神天皇期に謀反を起こすが敗れる。,,
K110,吾田媛,あたひめ,天津神,,,,K109,,武埴安彦命の妃。夫とともに謀反を起こす。,
K111,建沼河別命,たけぬにかわわけのみこと,天津神,,,,,,四道将軍の一人。東海道に派遣される。,
K112,吉備津彦命_四道,きびつひこのみこと_しどう,天津神,,,,,,（四道将軍）西道に派遣される。,
K113,大彦命,おおひこのみこと,天津神,K071,,,,四道将軍の一人。北陸に派遣される。阿倍氏の祖神。,,
K114,丹波道主命,たにわのみちぬしのみこと,天津神,,,,,,四道将軍の一人。丹波に派遣される。,
K115,狭穂彦王,さほひこのみこ,天津神,,,,,,垂仁天皇の皇后（狭穂姫）の兄。反乱を起こして討たれる。,
K116,狭穂姫命,さほひめのみこと,天津神,,,,K074,,垂仁天皇の最初の皇后。兄と夫の間で揺れ命を落とす。,
K117,野見宿禰,のみのすくね,天津神,,,,,,相撲の祖とされる神。埴輪の発案者。土師氏の祖神。,
K118,当麻蹴速,たいまのけはや,国津神,,,,,,大和の力士。野見宿禰と日本初の相撲をとる。,
K119,天日槍,あめのひぼこ,その他,,,,,,新羅から渡来した王子・神。但馬国を開拓。出石神社主祭神。,
K120,都怒我阿羅斯等,つぬがあらしと,その他,,,,,,加羅（任那）から渡来した王子。敦賀の地名由来。,
K121,五十瓊敷入彦命,いにしきいりひこのみこと,天津神,K074,,,,垂仁天皇の皇子。剣の製造や池の掘削など治水・武産業を推進。,,
K122,大中津姫命,おおなかつひめのみこと,天津神,,,,K121,,五十瓊敷入彦命の妃。,
K123,田道間守,たじまもり,その他,,,,,,垂仁天皇の命で常世の国から非時香木実（橘）を持ち帰った菓子のおやさま。,
K124,稚野日女尊,わかのひめのみこと,天津神,,,,,,天照大御神の妹または幼名とされる神。生田神社主祭神。,
K125,息長帯姫命,おきながたらしひめのみこと,天津神,,,,,,神功皇后の別名（和風諡号）。,
K126,武振熊命,たけふるくまのみこと,天津神,,,,,,神功皇后・応神天皇に従い反乱を平定した和邇氏の祖神。,
K127,香坂王,かごさかのおう,天津神,K078,,,,仲哀天皇の皇子。神功皇后の帰還を阻もうとして赤猪に襲われ命を落とす。,,
K128,忍熊王,おしくまのおう,天津神,K078,,,,仲哀天皇の皇子。香坂王とともに挙兵するが武内宿禰らに敗れる。,,
K129,菟道稚郎子,うじのわきいらつこ,天津神,K080,,,,応神天皇の寵愛を受けた皇太子。仁徳天皇に位を譲るため自害した美徳の神。,,
K130,仁徳天皇,にんとくてんのう,天津神,K080,,,,第十六代天皇。民の竈の煙を見て税を免除した聖帝。,,
K131,履中天皇,りちゅうてんのう,天津神,K130,,,,第十七代天皇。,,
K132,反正天皇,はんぜいてんのう,天津神,K130,,,,第十八代天皇。,,
K133,允恭天皇,いんぎょうてんのう,天津神,K130,,,,第十九代天皇。氏姓の乱れを正すため「探湯（くかたち）」を行う。,,
K134,安康天皇,あんこうてんのう,天津神,K133,,,,第二十代天皇。,,
K135,雄略天皇,ゆうりゃくてんのう,天津神,K133,,,,第二十一代天皇。大長谷若建命。「大悪天皇」とも呼ばれる強大な大王。,,
K136,一言主神,ひとことぬしのかみ,国津神,,,,,,雄略天皇と葛城山で遭遇した「一言の善悪も言い分ける」神。葛城一言主神社。,
K137,顕宗天皇,けんぞうてんのう,天津神,K131,,,,第二十三代天皇。父の仇を討ち復位。,,
K138,仁賢天皇,にんけんてんのう,天津神,K131,,,,第二十四代天皇。顕宗天皇の兄。,,
K139,武烈天皇,ぶれつてんのう,天津神,K138,,,,第二十五代天皇。,,
K140,継体天皇,けいたいてんのう,天津神,,,,,,第二十六代天皇。越前・近江から迎えられた大王。,
K141,欽明天皇,きんめいてんのう,天津神,K140,,,,第二十九代天皇。仏教公伝の時期の大王。,,
K142,推古天皇,すいこてんのう,天津神,K141,,,,第三十三代天皇。日本初の女性天皇。,,
K143,聖徳太子,しょうとくたいし,天津神,K141,,,,（厩戸皇子）冠位十二階・十七条憲法を制定。法隆寺。太子信仰として祀られる。,,
K144,秦河勝,はたのかわかつ,その他,,,,,,秦氏の首長。聖徳太子に仕え勝鬘経・仏像を授かり広隆寺を建立。,
K145,藤原鎌足,ふじわらのかまたり,天津神,,,,,,（中臣鎌足）乙巳の変で大化の改新を推進。談山神社主祭神。,
K146,中大兄皇子,なかのおおえのおうじ,天津神,K141,,,,（天智天皇）乙巳の変を起こす。近江神宮主祭神。,,
K147,大海人皇子,おおあまのおうじ,天津神,K141,,,,（天武天皇）壬申の乱を制して即位。古事記・日本書紀の編纂を命じる。,,
K148,持統天皇,じとうてんのう,天津神,K146,,,,第三十一代天皇。藤原京に遷都。,,
K149,元明天皇,げんめいてんのう,天津神,K147,,,,第四十三代天皇。平城京に遷都し『古事記』を完成させる。,,
K150,太安万侶,おおのやすまろ,天津神,,,,,,稗田阿礼の誦習する神話を採録・編纂して『古事記』を撰上した神。,
K151,稗田阿礼,ひえだのあれ,天津神,,,,,,記憶力に秀で『帝紀』『本辞』を暗誦した人物。,
K152,菅原道真,すがわらのみちざね,天津神,,,,,,学問の神様。天満大自在天神として全国の天満宮・天神社に祀られる。,
K153,平将門,たいらのまさかど,天津神,,,,,,関東に独立勢力を築き「新皇」を称した豪族。神田明神・将門塚。,
K154,崇徳上皇,すとくじょうこう,天津神,,,,,,保元の乱に敗れ讃岐へ流刑。三大怨霊の一柱。白峯神宮。,
K155,安徳天皇,あんとくてんのう,天津神,,,,,,壇ノ浦の戦いで二位の尼とともに三種の神器と入水。赤間神宮主祭神。,
K156,源頼朝,みなもとのよりとも,天津神,,,,,,鎌倉幕府を開く。鶴岡八幡宮を深く信仰。白旗神社主祭神。,
K157,楠木正成,くすのきまさしげ,天津神,,,,,,後醍醐天皇に忠義を尽くした武将。湊川神社主祭神。,
K158,豊臣秀吉,とよとみひでよし,天津神,,,,,,天下統一を成し遂げる。「豊国大明神」として豊国神社に祀られる。,
K159,徳川家康,とくがわいえやす,天津神,,,,,,江戸幕府を開く。「東照大権現」として日光東照宮・全国の東照宮に祀られる。,
K160,明治天皇,めいじてんのう,天津神,,,,,,明治維新を経て近代日本の礎を築く。明治神宮主祭神。,
K161,昭憲皇太后,しょうけんこうたいごう,天津神,,,,K160,,明治天皇の皇后。社会事業・女子教育に尽力。明治神宮祭神。,
K162,乃木希典,のぎまれすけ,天津神,,,,,,陸軍大将。明治天皇の後を追い殉死。誠実・忠義の神として乃木神社に祀られる。,
K163,東郷平八郎,とうごうへいはちろう,天津神,,,,,,日露戦争の日本海海戦で連合艦隊を指揮。「勝利の神」として東郷神社に祀られる。,
K164,吉田松陰,よしだしょういん,天津神,,,,,,幕末の思想家・教育者。松下村塾を開き志士を育てる。松陰神社主祭神。,
K165,佐久間象山,さくましょうざん,天津神,,,,,,幕末の兵学者・思想家。開国論を唱える。象山神社主祭神。,
K166,上杉謙信,うえすぎけんしん,天津神,,,,,,越後の戦国大名。「毘沙門天の化身」と称される武神。上杉神社主祭神。,
K167,武田信玄,たけだしんげん,天津神,,,,,,甲斐の戦国大名。「風林火山」で知られる勝負・産業の神。武田神社主祭神。,
K168,織田信長,おだのぶなが,天津神,,,,,,天下布武を掲げ戦国時代を終息へ導く。建勲神社主祭神。,
K169,伊達政宗,だてまさむね,天津神,,,,,,仙台藩初代藩主。独眼竜。「復興・発展の神」として青葉神社に祀られる。,
K170,真田幸村,さなだゆきむら,天津神,,,,,,大坂の陣で勇名を馳せた武将。「日本一の兵」。志紀長吉神社等。,
K171,前田利家,まえだとしいえ,天津神,,,,,,加賀藩祖。加賀百万石の礎を築く。尾山神社主祭神。,
K172,お松の方,おまつのかみ,天津神,,,,K171,,前田利家の正室（芳春院）。文武両道を支えた英知の女神。尾山神社合祀。,
K173,細川ガラシャ,ほそかわがらしゃ,天津神,,,,,,明智光秀の娘。細川忠興の妻。気高く節操を守った女神。,
K174,明智光秀,あけちみつひで,天津神,,,,,,丹波を開拓・治水した明智光秀。御霊神社（福知山）主祭神。,
K175,佐藤忠信,さとうただのぶ,天津神,,,,,,源義経の忠臣。吉野山で義経の身代わりとなる。飯坂温泉・佐藤神社。,
K176,源義経,みなもとのよしつね,天津神,K177,,,,鞍馬山で修行し壇ノ浦で平家を滅ぼした悲劇の英雄。白旗神社等。,,
K177,源義朝,みなもとのよしとも,天津神,,,,,,源頼朝・義経の父。保元の乱・平治の乱の武将。,
K178,源為朝,みなもとのためとも,天津神,,,,,,鎮西八郎。弓の名手。強武の神。,
K179,源頼光,みなもとのよりみつ,天津神,,,,,,酒呑童子・土蜘蛛を退治した武将。源氏武者の象徴。,
K180,坂上田村麻呂,さかがみのたむらまろ,天津神,,,,,,初代征夷大将軍。清水寺を創立。武勇・災難除けの神。,
K181,藤原秀郷,ふじわらのひでさと,天津神,,,,,,俵藤太。平将門の乱を鎮圧。唐澤山神社主祭神。,
K182,安倍晴明,あべのせいめい,天津神,,,,,,平安時代の陰陽師。魔除け・方除けの神。晴明神社主祭神。,
K183,小野篁,おののたかむら,天津神,,,,,,平安初期の公卿・文人。閻魔大王の補佐をした伝説を持つ。小野照崎神社。,
K184,小野道風,おののとうふう,天津神,,,,,,三跡の一人。書道の神として尊ばれる。,
K185,柿本人麻呂,かきのもとのひとまろ,天津神,,,,,,『万葉集』を代表する歌聖。歌道・学問の神。柿本神社。,
K186,山部赤人,やまべのおかうど,天津神,,,,,,歌聖の一人。富士山を詠んだ歌で有名。,
K187,和気清麻呂,わけのきよまろ,天津神,,,,,,宇佐八幡宮神託事件で道鏡の野望を阻む。建国の功臣。護王神社主祭神。,
K188,和気広虫,わけのひろむし,天津神,,,,,,和気清麻呂の姉。孤児の養育に尽力した慈愛の女神。護王神社合祀。,
K189,吉備真備,きびのまきび,天津神,,,,,,遣唐使として唐の文化・兵法を持ち帰る。吉備大臣宮。,
K190,行基,ぎょうき,その他,,,,,,民衆に仏教を広め東大寺大仏建立に尽力。神仏習合の先駆。,
K191,空海,くうかい,その他,,,,,,弘法大師。高野山を開く。お大師様として神格化される。,
K192,最澄,さいちょう,その他,,,,,,伝教大師。比叡山延暦寺を開く。,
K193,役小角,えんのおづぬ,その他,,,,,,役行者。修験道の開祖。葛城山・大峰山で修行し山岳信仰の神とされる。,
K194,神変大菩薩,じんべんだいぼさつ,その他,,,,,,役小角が光格天皇より賜った神号・尊号。,
K195,泰澄,たいちょう,その他,,,,,,越前の高僧。白山を開山した白山修験の祖。,
K196,勝道上人,しょうどうしょうにん,その他,,,,,,日光山を開山した高僧。男体山・日光修験の祖。,
K197,面足尊,おもだるののみこと,天津神,,,,,,神世七代の第6代。美しさを象徴。第六天神社主祭神。,
K198,惶根尊,かしこねののみこと,天津神,,,,K197,,神世七代の第6代女神。面足尊の妃。,
K199,角杙神,つのぐいのかみ,天津神,,,,,,神世七代の第4代。杭（境界・基礎）を立てる神。,
K200,活杙神,いくぐいのかみ,天津神,,,,K199,,神世七代の第4代女神。生命力を象徴。,
K201,意富斗能地神,おおとのぢのかみ,天津神,,,,,,神世七代の第5代。住居の構造を象徴。,
K202,大斗乃弁神,おおとのべのかみ,天津神,,,,K201,,神世七代の第5代女神。,
K203,豊斟渟神,とよくむぬのかみ,天津神,,,,,,神世七代の第2代。豊かな水の巡りを表す。,
K204,角髪島命,つむがしまのみこと,天津神,,,,,,記紀神話の地方開拓神の一柱。,
K205,天三降命,あめのみくだりのみこと,天津神,,,,,,天孫降臨に従った伴緒神の一柱。伊勢の神職の祖。,
K206,天香山命,あめのかぐやまのみこと,天津神,K061,,,,饒速日命の子。越後国を開拓した新潟の開拓祖神。弥彦神社主祭神。,,
K207,熟穂屋姫命,うましほやひめのみこと,天津神,,,,K206,,天香山命の妃神。,
K208,天道姫命,あめちひめのみこと,天津神,,,,,,尾張氏の祖神・開拓女神。,
K209,天火明命,あめのほあかりのみこと,天津神,K020,,,,太陽神・穂の神。尾張氏・海部氏の祖神。元伊勢・籠神社主祭神。,,
K210,天香語山命,あめのかごやまのみこと,天津神,K209,,,,天火明命の子。天香山命と同神とされる。,,
K211,天足彦国押人命,あまとりひらくにおしひとのみこと,天津神,K073,,,,孝昭天皇の皇子。和邇氏・小野氏の祖神。,,
K212,彦坐王,ひこいますのおう,天津神,K072,,,,開化天皇の皇子。丹波の陸耳御笠を退治した将軍。,,
K213,川上梟帥,かわかみのたける,国津神,,,,,,九州熊襲の首長。ヤマトタケルに討たれる。,
K214,建𝝯姫,たけうずひめ,国津神,,,,,,熊襲の地の女神・女性首長。,
K215,速津媛,はやつひめ,国津神,,,,,,豊後国（大分）の県主・女性首長。神武東征を迎える。,
K216,弟橘媛_補正,おとたちばなひめ_ほせい,天津神,,,,,,（属性補正データ）走水の入水女神。,
K217,大三島神,おおみしまのかみ,国津神,,,,,,大山津見神の別称。瀬戸内海の海の守護神。,
K218,志賀大神,しかのおおかみ,国津神,,,,,,綿津見三神の総称。海人族（阿曇氏）の祖神。志賀海神社。,
K219,住吉三神,すみよしさんしん,天津神,K010,,,,底筒男神・中筒男神・表筒男神の総称。航海・和歌の神。住吉大社。,,
K220,底筒男神,そこつつのおのかみ,天津神,K010,,,,伊邪那岐命の禊から生まれた海の神。航海安全の神。,,
K221,中筒男神,なかつつのおのかみ,天津神,K010,,,,伊邪那岐命の禊から生まれた海の神。,,
K222,表筒男神,うわつつのおのかみ,天津神,K010,,,,伊邪那岐命の禊から生まれた海の神。,,
K223,息長日子王,おきながひこのおう,天津神,,,,,,近江の豪族・息長氏の祖神。神功皇后の先祖。,
K224,神服織機殿姫,かんはとりはたどのひめ,天津神,,,,,,天照大御神の神衣を織る織物の女神。,
K225,神麻続機殿姫,かんおみはたどのひめ,天津神,,,,,,天照大御神の麻衣を織る女神。,
K226,度会彦命,わたらいひこのみこと,天津神,,,,,,伊勢国度会郡を開拓した度会氏の祖神。,
K227,大幡主神,おおはたぬしのかみ,天津神,,,,,,筑前国（福岡）を開拓した神。櫛田神社（博多）主祭神。,
K228,櫛田姫神,くしだひめのかみ,国津神,,,,K227,,大幡主神の娘。博多の地を守護する女神。,
K229,手力雄神_伊勢,たぢからおのかみ_いせ,天津神,,,,,,伊勢神宮相殿神として祀られる手力雄神。,
K230,万幡豊秋津師比売命,よろずはたとよあきつしひめ,天津神,K002,,,,高御産巣日神の娘。天忍穂耳命の妃。織物・豊穣の女神。,,
K231,味耜高彦根神,あじすきたかひこねのかみ,国津神,K031,K032,,,大国主神と神屋楯比売命の子。農業・工業・雷の神。葛城一族の祖神。,,
K232,下照姫命,したてるひめのみこと,国津神,K031,K032,,K087,大国主神の娘。天稚彦の妻。容姿端麗な女神。,,
K233,天探女_補正,あめのさぐめ_ほせい,天津神,,,,,,天稚彦に助言を与えたとされる女神。,
K234,天稚彦_補正,あめのわかひこ_ほせい,天津神,,,,K232,,天津神から派遣されたが国津神側に着いた神。,
K235,天穂日命,あめのほひのみこと,天津神,K012,,,,K236,天照大御神の第二子。出雲国造・菅原氏等の祖神。出雲大社教の親神。,
K236,武夷鳥命,たけひなとりのみこと,天津神,K235,,,,,,天穂日命の子。出雲の神宝を献上した神。
